pos x,pos y,Barrio
-58.46941984,-34.63376545,Flores
-58.40367321,-34.58129246,Palermo
-58.52932872,-34.65014993,Liniers
-58.40917826,-34.62126274,San Cristóbal
-58.41264127,-34.59473294,Recoleta
-58.50877521,-34.66977709,Mataderos
-58.51232237,-34.65903530,Naon
-58.44744156,-34.64567171,Flores
-58.49441273,-34.65869968,Mataderos
-58.47976785,-34.69153196,Villa Riachuelo
-58.36523349,-34.62260331,Puerto Madero
-58.39118948,-34.62704273,San Cristóbal
-58.39118948,-34.62704273,San Cristóbal
-58.49019551,-34.65015854,Mataderos
-58.41644362,-34.63023775,Boedo
-58.50073810,-34.54979510,Saavedra
-58.39626094,-34.63036565,Parque Patricios
-58.43284809,-34.67051543,Villa Soldati
-58.52280139,-34.63659934,Liniers
-58.42336930,-34.59774487,Villa Crespo
-58.38691681,-34.63105973,Constitución
-58.41169020,-34.58579880,Palermo
-58.46739825,-34.65117757,Parque Avellaneda
-58.44483258,-34.67152226,Villa Soldati
-58.43254025,-34.66128115,Villa Soldati
-58.47199387,-34.69640164,Villa Riachuelo
-58.47199387,-34.69640164,Villa Riachuelo
-58.46411215,-34.62925068,Flores
-58.36217754,-34.62367156,Puerto Madero
-58.48098594,-34.54073130,Saavedra
-58.41083404,-34.64640709,Parque Patricios
-58.44609828,-34.64446729,Flores
-58.37709334,-34.64035082,Barracas
-58.46963952,-34.63070603,Flores
-58.43674281,-34.55161027,Belgrano
-58.40596860,-34.61011987,Balvanera
-58.36154069,-34.60463618,Puerto Madero
-58.37062179,-34.60066507,San Nicolás
-58.43220014,-34.60207186,Almagro
-58.46958442,-34.64949724,Parque Avellaneda
-58.44671397,-34.59970903,Villa Crespo
-58.47152163,-34.61474911,Villa General Mitre
-58.39032921,-34.61807951,Monserrat
-58.52887773,-34.64297861,Liniers
-58.49371157,-34.67981324,Villa Lugano
-58.48266599,-34.66012327,Mataderos
-58.40612253,-34.60774301,Balvanera
-58.43613623,-34.66292532,Villa Soldati
-58.48250732,-34.57208238,Villa Urquiza
-58.49945705,-34.63743280,Villa Luro
-58.47743966,-34.67233407,Villa Lugano
-58.50251790,-34.67450313,Villa Lugano
-58.52144411,-34.63682499,Liniers
-58.41650465,-34.65084045,Nueva Pompeya
-58.52994219,-34.64055918,Liniers
-58.50993046,-34.56919739,Villa Martelli
-58.52844623,-34.64592873,Liniers
-58.52844623,-34.64592873,Liniers
-58.45021367,-34.58695347,Chacarita
-58.49022072,-34.62770192,Vélez Sarsfield
-58.36860866,-34.60106568,San Nicolás
-58.39490504,-34.57241534,Recoleta
-58.46963952,-34.63070603,Flores
-58.42349365,-34.64019887,Nueva Pompeya
-58.37471802,-34.61265002,Monserrat
-58.46438789,-34.62913916,Flores
-58.38481975,-34.61100424,Monserrat
-58.50751833,-34.62073702,Monte Castro
-58.44682986,-34.63888084,Parque Chacabuco
-58.36004650,-34.61381341,Puerto Madero
-58.41509546,-34.62085945,Boedo
-58.50997604,-34.57251072,Villa Pueyrredón
-58.48606475,-34.64047818,Parque Avellaneda
-58.38526125,-34.57805810,Recoleta
-58.45463662,-34.65082149,Flores
-58.49121672,-34.59718073,Villa del Parque
-58.47325712,-34.65284605,Parque Avellaneda
-58.52108101,-34.63382309,Liniers
-58.41652702,-34.55509606,Palermo
-58.42891604,-34.61071660,Almagro
-58.47802293,-34.69156793,Villa Riachuelo
-58.37564821,-34.62200207,San Telmo
-58.42668489,-34.56961468,Palermo
-58.42668489,-34.56961468,Palermo
-58.51839930,-34.66252488,Villa Industrial
-58.48432691,-34.67665828,Villa Lugano
-58.43383830,-34.64457699,Parque Chacabuco
-58.51664939,-34.58657938,Villa Devoto
-58.49613012,-34.59703502,Villa del Parque
-58.38313603,-34.63356284,Barracas
-58.39914719,-34.61632317,Balvanera
-58.44927253,-34.54048625,Belgrano
-58.45049163,-34.55374003,Belgrano
-58.41288952,-34.63572989,Boedo
-58.45743597,-34.62561234,Flores
-58.39123782,-34.62352245,Constitución
-58.52922765,-34.63637963,Liniers
-58.37208118,-34.58541957,Retiro
-58.41458534,-34.60937557,Balvanera
-58.47976785,-34.69153196,Villa Riachuelo
-58.39990285,-34.59511714,Recoleta
-58.46051346,-34.60588536,Villa General Mitre
-58.47976785,-34.69153196,Villa Riachuelo
-58.45457546,-34.62447891,Flores
-58.36951669,-34.59832047,San Nicolás
-58.46415322,-34.60443790,Villa General Mitre
-58.36607137,-34.62150748,Puerto Madero
-58.45537373,-34.65093074,Flores
-58.37942637,-34.60053054,San Nicolás
-58.43680440,-34.62147504,Caballito
-58.40778291,-34.61971907,San Cristóbal
-58.45212523,-34.54628513,Belgrano
-58.46749188,-34.63551751,Flores
-58.44263580,-34.63679732,Parque Chacabuco
-58.51140289,-34.65846419,Naon
-58.38211431,-34.62465368,Constitución
-58.36951669,-34.59832047,San Nicolás
-58.41635217,-34.62036547,Almagro
-58.41316147,-34.57579669,Palermo
-58.47617802,-34.53825652,Vicente López
-58.38641783,-34.63330028,Barracas
-58.45322169,-34.62038137,Caballito
-58.45849057,-34.56166498,Belgrano
-58.41829559,-34.59411677,Palermo
-58.36376488,-34.63832093,La Boca
-58.46442668,-34.66004784,Parque Avellaneda
-58.48222035,-34.58428769,Parque Chas
-58.36819005,-34.60283208,Puerto Madero
-58.45877601,-34.62330939,Flores
-58.44196498,-34.55760517,Belgrano
-58.50622631,-34.63627822,Liniers
-58.38410880,-34.63099197,Constitución
-58.48100602,-34.63504312,Vélez Sarsfield
-58.45200171,-34.55781320,Belgrano
-58.44462132,-34.56201105,Belgrano
-58.45220688,-34.58711712,Chacarita
-58.45962210,-34.62245140,Flores
-58.41970850,-34.65414867,Nueva Pompeya
-58.44187596,-34.64938031,Flores
-58.49101637,-34.64276621,Villa Luro
-58.42493829,-34.66256502,Villa Soldati
-58.40489318,-34.62930162,Parque Patricios
-58.42686680,-34.59217875,Palermo
-58.47961100,-34.65620398,Parque Avellaneda
-58.47439934,-34.63524207,Floresta
-58.46711912,-34.57926018,Villa Ortúzar
-58.46514781,-34.53465378,Núñez
-58.37571078,-34.65584079,Barracas
-58.37157668,-34.65429986,Barracas
-58.39811256,-34.58070186,Palermo
-58.41125934,-34.65417740,Nueva Pompeya
-58.41822901,-34.61866836,Almagro
-58.47617802,-34.53825652,Vicente López
-58.46141281,-34.58623761,Chacarita
-58.42985146,-34.66119740,Villa Soldati
-58.48457413,-34.65839090,Mataderos
-58.46572884,-34.63628186,Flores
-58.49261744,-34.63419130,Vélez Sarsfield
-58.45283186,-34.58841560,Chacarita
-58.47973681,-34.57418656,Villa Urquiza
-58.40623949,-34.65076549,Nueva Pompeya
-58.36244648,-34.63107887,La Boca
-58.49962423,-34.64868027,Mataderos
-58.44551437,-34.59559816,Villa Crespo
-58.35608181,-34.63420319,La Boca
-58.46483679,-34.60907662,Villa General Mitre
-58.44368628,-34.59724326,Villa Crespo
-58.37864583,-34.62907067,Barracas
-58.37560352,-34.62726382,San Telmo
-58.47721439,-34.64815069,Parque Avellaneda
-58.45134029,-34.58984288,Chacarita
-58.49040794,-34.58368803,Villa Pueyrredón
-58.42102679,-34.64991178,Nueva Pompeya
-58.52219407,-34.64143926,Liniers
-58.52169422,-34.59471640,Villa Devoto
-58.47460416,-34.63206174,Floresta
-58.50512382,-34.61520391,Monte Castro
-58.43910409,-34.59213355,Villa Crespo
-58.45019436,-34.64646409,Flores
-58.39337644,-34.60927582,Balvanera
-58.39055614,-34.60919284,San Nicolás
-58.41036975,-34.62477021,San Cristóbal
-58.44925765,-34.65412546,Villa Soldati
-58.38156850,-34.61648696,Monserrat
-58.40662899,-34.59804521,Balvanera
-58.41985649,-34.60600850,Almagro
-58.38099833,-34.62214953,Constitución
-58.41803309,-34.61823178,Almagro
-58.40604003,-34.61783553,Balvanera
-58.47549929,-34.57994061,Parque Chas
-58.51398484,-34.61600366,Villa Devoto
-58.36797542,-34.62519403,San Telmo
-58.37133616,-34.59879316,San Nicolás
-58.39613805,-34.61413568,Balvanera
-58.44903073,-34.54200276,Belgrano
-58.41972364,-34.62846670,Boedo
-58.40571596,-34.60557123,Balvanera
-58.41451590,-34.59488319,Recoleta
-58.47297505,-34.66245085,Villa Lugano
-58.35791192,-34.63695178,La Boca
-58.50801713,-34.65177305,Naon
-58.40258477,-34.60975108,Balvanera
.,.,
-58.48267426,-34.68454456,Villa Lugano
-58.44248936,-34.60221948,Villa Crespo
-58.52909134,-34.63886726,Liniers
-58.45158942,-34.60646580,Caballito
-58.49344309,-34.65788529,Mataderos
-58.44259166,-34.59635137,Villa Crespo
-58.46743471,-34.53476874,Vicente López
-58.41178158,-34.60922259,Balvanera
-58.45068621,-34.63638927,Parque Chacabuco
-58.42016954,-34.58778790,Palermo
-58.43850413,-34.65554754,Villa Soldati
-58.40617526,-34.58345898,Recoleta
-58.40617526,-34.58345898,Recoleta
.,.,
-58.38526125,-34.57805810,Recoleta
-58.44750470,-34.63491705,Parque Chacabuco
-58.46745752,-34.68192648,Villa Lugano
-58.37202621,-34.59717942,Retiro
-58.42779702,-34.62207347,Caballito
-58.46244952,-34.70524971,Barrio Sarmiento
-58.48440160,-34.60776782,Villa del Parque
-58.46668375,-34.65174801,Flores
-58.44958780,-34.59322448,Chacarita
-58.37533517,-34.59276462,Retiro
-58.42525456,-34.57866344,Palermo
-58.48493828,-34.62981124,Floresta
-58.40480504,-34.60183884,Balvanera
-58.41125934,-34.65417740,Nueva Pompeya
-58.39956546,-34.62977080,Parque Patricios
-58.49005682,-34.57868970,Villa Urquiza
-58.47064556,-34.69843756,Villa Riachuelo
-58.47501560,-34.61945902,Villa Santa Rita
-58.48727942,-34.63652467,Vélez Sarsfield
-58.37951690,-34.62794241,Constitución
-58.47750832,-34.65672199,Parque Avellaneda
-58.44927253,-34.54048625,Belgrano
-58.39246272,-34.61253541,Balvanera
-58.52783814,-34.61047001,Villa Devoto
-58.52783814,-34.61047001,Villa Devoto
-58.49332664,-34.54836855,Saavedra
-58.50178784,-34.63593897,Villa Luro
-58.41657793,-34.65476216,Nueva Pompeya
-58.39731474,-34.58307887,Recoleta
-58.38746381,-34.61790839,Monserrat
-58.39189441,-34.59176378,Recoleta
-58.46749188,-34.63551751,Flores
-58.40280471,-34.62113271,San Cristóbal
-58.44451316,-34.68475866,Villa Riachuelo
-58.47110424,-34.62742408,Flores
-58.38220928,-34.60373898,San Nicolás
-58.49794468,-34.61565025,Monte Castro
-58.47220945,-34.60111373,La Paternal
-58.47220945,-34.60111373,La Paternal
-58.43706741,-34.63217813,Parque Chacabuco
-58.49332664,-34.54836855,Saavedra
-58.37960727,-34.62622851,Constitución
-58.51061062,-34.64972472,Liniers
-58.43052224,-34.62941648,Parque Chacabuco
-58.41455544,-34.63866836,Nueva Pompeya
-58.46774439,-34.64730145,Parque Avellaneda
-58.40786274,-34.56726817,Palermo
-58.48744301,-34.58622275,Agronomía
-58.41657793,-34.65476216,Nueva Pompeya
-58.45351111,-34.61134937,Caballito
-58.50073810,-34.54979510,Saavedra
-58.39144148,-34.59564871,Recoleta
-58.48191128,-34.68385968,Villa Lugano
-58.48727942,-34.63652467,Vélez Sarsfield
-58.48328708,-34.59779521,Villa del Parque
-58.49018543,-34.59724990,Villa del Parque
-58.47230127,-34.68482689,Villa Lugano
-58.38262614,-34.63168269,Barracas
-58.41047268,-34.60793518,Balvanera
-58.49659234,-34.56353635,Saavedra
-58.42462955,-34.60727189,Almagro
-58.41168345,-34.61185625,Balvanera
-58.45157681,-34.55217303,Belgrano
.,.,
-58.49573651,-34.67006054,Villa Lugano
-58.48695354,-34.68795245,Villa Lugano
-58.37562539,-34.64449357,Barracas
-58.49491054,-34.54795581,Saavedra
-58.44147621,-34.64357704,Parque Chacabuco
-58.46899119,-34.63215432,Flores
-58.38685612,-34.63455776,Barracas
-58.38113667,-34.61765323,Constitución
-58.44112678,-34.54538956,Belgrano
-58.41595919,-34.62743346,Boedo
-58.40184094,-34.64546845,Parque Patricios
-58.44642231,-34.65679806,Villa Soldati
-58.52340614,-34.59798754,
-58.46649069,-34.56219075,Coghlan
-58.42653328,-34.57816791,Palermo
-58.50407099,-34.65303372,Naon
-58.46743471,-34.53476874,Vicente López
-58.40986646,-34.57728060,Palermo
-58.51739138,-34.63931792,Liniers
-58.50719962,-34.65556223,Naon
-58.46712311,-34.64600222,Parque Avellaneda
-58.37709334,-34.64035082,Barracas
-58.46033141,-34.58569883,Chacarita
-58.42190745,-34.65633192,Nueva Pompeya
-58.49026573,-34.56981410,Villa Urquiza
-58.45410344,-34.66902702,Villa Soldati
-58.44751621,-34.55719892,Belgrano
-58.42040352,-34.66005171,Nueva Pompeya
-58.49530249,-34.68010798,Villa Lugano
-58.44399875,-34.59477360,Villa Crespo
-58.42759813,-34.65463857,Nueva Pompeya
-58.40547222,-34.60456293,Balvanera
-58.42473018,-34.65008280,Nueva Pompeya
-58.39257023,-34.57563957,Recoleta
-58.48941042,-34.54596153,Saavedra
-58.39640740,-34.62783085,San Cristóbal
-58.41971993,-34.61112240,Almagro
-58.40544588,-34.65012801,Nueva Pompeya
-58.42003882,-34.64645957,Nueva Pompeya
-58.46851293,-34.63348678,Flores
-58.52931141,-34.65422917,Barrio El Triángulo
-58.42675754,-34.62699730,Parque Chacabuco
-58.52933723,-34.61098186,
-58.37910943,-34.62764718,Constitución
-58.52161176,-34.61164474,Villa Devoto
-58.41354692,-34.58697680,Palermo
-58.43960781,-34.65470804,Villa Soldati
-58.40454610,-34.60003693,Balvanera
-58.39303911,-34.59871111,Recoleta
-58.39391034,-34.58405348,Recoleta
-58.50073810,-34.54979510,Saavedra
-58.38281301,-34.62786038,Constitución
-58.43980799,-34.65094083,Flores
-58.44402387,-34.62933109,Caballito
-58.42779702,-34.62207347,Caballito
-58.40944147,-34.60097942,Balvanera
-58.38277479,-34.59430160,Retiro
-58.37627355,-34.63800916,Barracas
-58.39591856,-34.62453459,San Cristóbal
-58.45829717,-34.56015762,Belgrano
-58.49142611,-34.64584795,Parque Avellaneda
-58.51271409,-34.57786555,Villa Pueyrredón
-58.44864864,-34.62352826,Caballito
-58.37795815,-34.59167894,Retiro
-58.45531707,-34.55555257,Belgrano
-58.47633683,-34.62140594,Flores
-58.38188582,-34.60256036,San Nicolás
-58.51989389,-34.62284918,Monte Castro
-58.40596860,-34.61011987,Balvanera
-58.43353773,-34.64561636,Nueva Pompeya
-58.46739825,-34.65117757,Parque Avellaneda
-58.47293407,-34.61984745,Flores
-58.47066794,-34.65021673,Parque Avellaneda
-58.37976155,-34.58679619,Retiro
